reg;region_name;cl_age90;jour;hosp;rea;rad;dc
1;Guadeloupe;90;13/04/2020;0;0;0;0
1;Guadeloupe;0;14/04/2020;41;18;51;10
1;Guadeloupe;9;14/04/2020;0;0;0;0
1;Guadeloupe;19;14/04/2020;1;0;0;0
1;Guadeloupe;29;14/04/2020;0;0;1;0
1;Guadeloupe;39;14/04/2020;1;0;3;0
1;Guadeloupe;49;14/04/2020;2;1;4;0
1;Guadeloupe;59;14/04/2020;6;4;16;1
1;Guadeloupe;69;14/04/2020;10;4;12;2
1;Guadeloupe;79;14/04/2020;11;7;7;4
1;Guadeloupe;89;14/04/2020;10;2;7;3
1;Guadeloupe;90;14/04/2020;0;0;0;0
1;Guadeloupe;0;15/04/2020;35;17;57;10
1;Guadeloupe;9;15/04/2020;0;0;0;0
1;Guadeloupe;19;15/04/2020;1;0;0;0
1;Guadeloupe;29;15/04/2020;0;0;1;0
1;Guadeloupe;39;15/04/2020;1;0;3;0
1;Guadeloupe;49;15/04/2020;2;1;4;0
1;Guadeloupe;59;15/04/2020;6;4;16;1
1;Guadeloupe;69;15/04/2020;8;4;14;2
1;Guadeloupe;79;15/04/2020;9;6;9;4
1;Guadeloupe;89;15/04/2020;8;2;9;3
1;Guadeloupe;90;15/04/2020;0;0;0;0
1;Guadeloupe;0;16/04/2020;34;17;59;10
1;Guadeloupe;9;16/04/2020;0;0;0;0
1;Guadeloupe;19;16/04/2020;1;0;1;0
1;Guadeloupe;29;16/04/2020;0;0;1;0
1;Guadeloupe;39;16/04/2020;1;0;3;0
1;Guadeloupe;49;16/04/2020;2;1;4;0
1;Guadeloupe;59;16/04/2020;6;4;16;1
1;Guadeloupe;69;16/04/2020;8;4;14;2
1;Guadeloupe;79;16/04/2020;9;6;9;4
1;Guadeloupe;89;16/04/2020;7;2;10;3
1;Guadeloupe;90;16/04/2020;0;0;0;0
1;Guadeloupe;0;17/04/2020;36;19;59;10
1;Guadeloupe;9;17/04/2020;0;0;0;0
1;Guadeloupe;19;17/04/2020;1;0;1;0
1;Guadeloupe;29;17/04/2020;0;0;1;0
1;Guadeloupe;39;17/04/2020;1;0;3;0
1;Guadeloupe;49;17/04/2020;2;1;4;0
1;Guadeloupe;59;17/04/2020;7;5;16;1
1;Guadeloupe;69;17/04/2020;8;4;14;2
1;Guadeloupe;79;17/04/2020;10;7;9;4
1;Guadeloupe;89;17/04/2020;7;2;10;3
1;Guadeloupe;90;17/04/2020;0;0;0;0
1;Guadeloupe;0;18/04/2020;33;17;61;11
1;Guadeloupe;9;18/04/2020;0;0;0;0
1;Guadeloupe;19;18/04/2020;1;0;1;0
1;Guadeloupe;29;18/04/2020;0;0;1;0
1;Guadeloupe;39;18/04/2020;1;0;3;0
1;Guadeloupe;49;18/04/2020;2;1;4;0
